Date,Close
2006-02-14,460.04
2006-02-15,460.56
2006-02-16,461.66
2006-02-17,463.6
2006-02-20,464.64
2006-02-21,464.32
2006-02-22,466.02
2006-02-23,464.59
2006-02-24,464.57
2006-02-27,467.53
2006-02-28,458.72
2006-03-01,461.7
2006-03-02,457.26
2006-03-03,455.25
2006-03-06,457.86
2006-03-07,455.17
2006-03-08,451.38
2006-03-09,454.42
2006-03-10,458.59
2006-03-13,461.67
2006-03-14,462.58
2006-03-15,464.5
2006-03-16,464.17
2006-03-17,464.05
2006-03-20,466.53
2006-03-21,467.08
2006-03-22,469.03
2006-03-23,470.75
2006-03-24,472.07
2006-03-27,469.76
2006-03-28,467.75
2006-03-29,468.99
2006-03-30,472.58
2006-03-31,468.69
2006-04-03,471.33
2006-04-04,467.95
2006-04-05,468.53
2006-04-06,469.6
2006-04-07,468.68
2006-04-10,470.66
2006-04-11,464.14
2006-04-12,463.62
2006-04-13,462.76
2006-04-18,462.73
2006-04-19,468.86
2006-04-20,472.64
2006-04-21,478
2006-04-24,475.64
2006-04-25,476.04
2006-04-26,477.47
2006-04-27,474.44
2006-04-28,469.4
2006-05-02,470.13
2006-05-03,464.64
2006-05-04,466.59
2006-05-05,471.72
2006-05-08,472.67
2006-05-09,473.52
2006-05-10,469.07
2006-05-11,466.88
2006-05-12,455.09
2006-05-15,450.09
2006-05-16,451.08
2006-05-17,436.47
2006-05-18,437.1
2006-05-19,438.98
2006-05-22,428.78
2006-05-23,439.58
2006-05-24,435.84
2006-05-25,440.28
2006-05-26,446.28
2006-05-29,445.79
2006-05-30,434.7
2006-05-31,440.41
2006-06-01,441.58
2006-06-02,438.9
2006-06-05,436.21
2006-06-06,427.88
2006-06-07,432.06
2006-06-08,419.64
2006-06-09,426.47
2006-06-12,421.72
2006-06-13,412.87
2006-06-14,412.98
2006-06-15,423.73
2006-06-16,420.52
2006-06-19,423.56
2006-06-20,425.18
2006-06-21,426.64
2006-06-22,429.26
2006-06-23,429.14
2006-06-26,427.23
2006-06-27,422.8
2006-06-28,423.81
2006-06-29,432.2
2006-06-30,440.25
2006-07-03,443.47
2006-07-04,444.38
2006-07-05,439.15
2006-07-06,442.91
2006-07-07,440.7
2006-07-10,442.58
2006-07-11,438.57
2006-07-12,440.43
2006-07-13,434.41
2006-07-14,428.33
2006-07-17,427.23
2006-07-18,426.8
2006-07-19,437.44
2006-07-20,438.72
2006-07-21,436.3
2006-07-24,445.92
2006-07-25,444.05
2006-07-26,446.38
